source_term,target_term,notes
GPU,GPU,Graphics Processing Unit
TPU,TPU,Tensor Processing Unit
VRAM,VRAM,ビデオメモリ
quantization,量子化,モデル軽量化
pruning,プルーニング,モデル枝刈り
distillation,蒸留,知識蒸留
ONNX,ONNX,Open Neural Network Exchange
TensorFlow,TensorFlow,Googleのフレームワーク
PyTorch,PyTorch,Metaのフレームワーク
Hugging Face,Hugging Face,AIモデルプラットフォーム
LangChain,LangChain,LLMフレームワーク
vector database,ベクターデータベース,
Pinecone,Pinecone,ベクターDB製品名
Weaviate,Weaviate,ベクターDB製品名
# --- クラウド / プラットフォーム ---
AWS,AWS,Amazon Web Services
GCP,GCP,Google Cloud Platform
Azure,Azure,Microsoft Azure
Kubernetes,Kubernetes,
k8s,k8s,Kubernetesの略称
serverless,サーバーレス,
microservices,マイクロサービス,
load balancer,ロードバランサー,
auto scaling,オートスケーリング,
CDN,CDN,Content Delivery Network
VPC,VPC,Virtual Private Cloud
IAM,IAM,Identity and Access Management
S3,S3,Amazon S3ストレージ
Cloud Storage,Cloud Storage,GCSストレージ
Pub/Sub,Pub/Sub,メッセージングサービス
Kafka,Kafka,分散メッセージキュー
Redis,Redis,インメモリDB
PostgreSQL,PostgreSQL,
MongoDB,MongoDB,
# --- ネットワーク / セキュリティ ---
TLS,TLS,Transport Layer Security
SSL,SSL,Secure Sockets Layer
OAuth,OAuth,認証プロトコル
JWT,JWT,JSON Web Token
firewall,ファイアウォール,
VPN,VPN,Virtual Private Network
endpoint,エンドポイント,
webhook,ウェブフック,
# --- ソフトウェア開発（追加） ---
open source,オープンソース,
version control,バージョン管理,
Git,Git,バージョン管理ツール
GitHub,GitHub,コードホスティング
monorepo,モノレポ,
microservice,マイクロサービス,
middleware,ミドルウェア,
ORM,ORM,Object-Relational Mapping
GraphQL,GraphQL,クエリ言語
gRPC,gRPC,RPCフレームワーク
observability,オブザーバビリティ,
logging,ロギング,
monitoring,モニタリング,
alerting,アラーティング,
SLA,SLA,Service Level Agreement
SLO,SLO,Service Level Objective
# --- データ分析 ---
data analysis,データ分析,
data science,データサイエンス,
data engineer,データエンジニア,
data analyst,データアナリスト,
exploratory data analysis,探索的データ分析,
EDA,EDA,Exploratory Data Analysis
data cleaning,データクレンジング,
data wrangling,データラングリング,
data transformation,データ変換,
missing value,欠損値,
outlier,外れ値,
normalization,正規化,
standardization,標準化,
feature engineering,特徴量エンジニアリング,
feature selection,特徴量選択,
dimensionality reduction,次元削減,
PCA,PCA,主成分分析
clustering,クラスタリング,
classification,分類,
regression,回帰,
time series,時系列,
forecasting,予測,
anomaly detection,異常検知,
correlation,相関,
causality,因果関係,
statistical significance,統計的有意性,
p-value,p値,
hypothesis testing,仮説検定,
confidence interval,信頼区間,
A/B test,A/Bテスト,
cohort analysis,コホート分析,
funnel analysis,ファネル分析,
retention,リテンション,継続率
churn,チャーン,解約率
conversion rate,コンバージョン率,
# --- データ基盤 ---
data warehouse,データウェアハウス,
data lake,データレイク,
data lakehouse,データレイクハウス,
data mart,データマート,
ETL,ETL,Extract Transform Load
ELT,ELT,Extract Load Transform
batch processing,バッチ処理,
stream processing,ストリーム処理,
real-time analytics,リアルタイム分析,
schema,スキーマ,
partition,パーティション,
index,インデックス,
query,クエリ,
SQL,SQL,
BigQuery,BigQuery,Google BigQuery
Snowflake,Snowflake,データウェアハウス製品名
Redshift,Redshift,Amazon Redshift
dbt,dbt,データ変換ツール
Airflow,Airflow,ワークフロー管理ツール
Spark,Spark,Apache Spark
Pandas,Pandas,Pythonデータ分析ライブラリ
NumPy,NumPy,Python数値計算ライブラリ
Matplotlib,Matplotlib,Python可視化ライブラリ
Jupyter,Jupyter,対話型開発環境
notebook,ノートブック,Jupyter Notebook
# --- 可視化 / BI ---
dashboard,ダッシュボード,
visualization,可視化,
BI,BI,Business Intelligence
Tableau,Tableau,BIツール製品名
Looker,Looker,BIツール製品名
Power BI,Power BI,Microsoft BIツール
chart,チャート,
graph,グラフ,
heatmap,ヒートマップ,
scatter plot,散布図,
histogram,ヒストグラム,
KPI dashboard,KPIダッシュボード,
